Topic,Score,Keywords,Reference
Extreme poverty, 1e9, "extreme poverty" AND (global OR world OR "low and middle-income" OR "developing countries" OR China OR India OR "U.S." OR "United States" OR Indonesia OR Brazil OR Pakistan OR Nigeria OR Bangladesh OR Russia OR Mexico OR Japan OR Philippines OR Ethiopia OR Egypt OR Vietnam OR Congo OR Germany OR Iran OR Turkey OR France),https://80000hours.org/articles/problem-framework/
Cure Cancer,1e8,(cancer OR tumor OR tumour) AND cure AND (global OR world OR "low and middle-income" OR "developing countries" OR China OR India OR "U.S." OR "United States" OR Indonesia OR Brazil OR Pakistan OR Nigeria OR Bangladesh OR Russia OR Mexico OR Japan OR Philippines OR Ethiopia OR Egypt OR Vietnam OR Congo OR Germany OR Iran OR Turkey OR France),https://80000hours.org/articles/problem-framework/
Climate Change, 5.5e6, "climate change" AND (global OR world OR "low and middle-income" OR "developing countries" OR China OR India OR "U.S." OR "United States" OR Indonesia OR Brazil OR Pakistan OR Nigeria OR Bangladesh OR Russia OR Mexico OR Japan OR Philippines OR Ethiopia OR Egypt OR Vietnam OR Congo OR Germany OR Iran OR Turkey OR France), https://www.who.int/globalchange/environment/en/chapter7.pdf
